PROBATION_AREA_DESCRIPTION,PAR_Trim,NOMS_REGION_DESCRIPTION,prob_area,NPS_Division,CRC_Area,NPS_CRC_NAME,SUP_BODY
NPS - South Nottinghamshire,NPS - South Nottinghamshire,NPS-Midlands,NPS - South Nottinghamshire,Midlands,,Midlands,b. NPS
NPS - South Wales 1,NPS - South Wales 1,PS-Wales,NPS - South Wales 1,Wales,,Wales,b. NPS
NPS - South Wales 2,NPS - South Wales 2,PS-Wales,NPS - South Wales 2,Wales,,Wales,b. NPS
NPS - Southampton,NPS - Southampton,NPS-South West & South Central,NPS - Southampton,South West,,South West & South Central,b. NPS
NPS - Sth Glos,NPS - Sth Glos,PS-South West,NPS - Sth Glos,South West,,South West,b. NPS
NPS - Surrey and West Sussex,NPS - Surrey and West Sussex,NPS-South East and Eastern,NPS - Surrey and West Sussex,South East & Eastern,,South East & Eastern,b. NPS
NPS - Sussex,NPS - Sussex,PS-Kent Surrey Sussex,NPS - Sussex,South East & Eastern,,Kent Surrey Sussex,b. NPS
NPS - Thurrock,NPS - Thurrock,NPS-South East and Eastern,NPS - Thurrock,South East & Eastern,,South East & Eastern,b. NPS
NPS - Waveney,NPS - Waveney,NPS-South East and Eastern,NPS - Waveney,South East & Eastern,,South East & Eastern,b. NPS
NPS - West Berkshire,NPS - West Berkshire,NPS-South West & South Central,NPS - West Berkshire,South West,,South West & South Central,b. NPS
NPS - West Brent,NPS - West Brent,PS-London,NPS - West Brent,London,,London,b. NPS
NPS - West Essex,NPS - West Essex,NPS-South East and Eastern,NPS - West Essex,South East & Eastern,,South East & Eastern,b. NPS
NPS - West Northants,NPS - West Northants,NPS-South East and Eastern,NPS - West Northants,South East & Eastern,,South East & Eastern,b. NPS
NPS - West Sussex,NPS - West Sussex,NPS-South East and Eastern,NPS - West Sussex,South East & Eastern,,South East & Eastern,b. NPS
NPS - West Wales,NPS - West Wales,PS-Wales,NPS - West Wales,Wales,,Wales,b. NPS
NPS - Western Herts,NPS - Western Herts,NPS-South East and Eastern,NPS - Western Herts,South East & Eastern,,South East & Eastern,b. NPS
PS - Oldham,PS - Oldham,PS-Greater Manchester,Oldham,Greater Manchester,,Greater Manchester,b. PS
PS - Oxfordshire,PS - Oxfordshire,PS-South Central,Oxfordshire,South Central,,South Central,b. PS
PS - Plymouth,PS - Plymouth,PS-South West,Plymouth,South West,,South West,b. PS
PS - Portsmouth and IoW,PS - Portsmouth and IoW,PS-South Central,Portsmouth and IoW,South Central,,South Central,b. PS
PS - Preston,PS - Preston,PS-North West,Preston,North West,,North West,b. PS
PS - Redbridge,PS - Redbridge,PS-London,Redbridge,London,,London,b. PS
PS - Redcar Cleveland,PS - Redcar Cleveland,PS-North East,Redcar Cleveland,North East,,North East,b. PS
PS - Rochdale,PS - Rochdale,PS-Greater Manchester,Rochdale,Greater Manchester,,Greater Manchester,b. PS
PS - Rotherham,PS - Rotherham,PS-Yorkshire and The Humber,Rotherham,Yorkshire and The Humber,,Yorkshire and The Humber,b. PS
PS - Salford,PS - Salford,PS-Greater Manchester,Salford,Greater Manchester,,Greater Manchester,b. PS
PS - Sandwell,PS - Sandwell,PS-West Midlands,Sandwell,West Midlands,,West Midlands,b. PS
PS - Sefton,PS - Sefton,PS-North West,Sefton,North West,,North West,b. PS
PS - Sheffield,PS - Sheffield,PS-Yorkshire and The Humber,Sheffield,Yorkshire and The Humber,,Yorkshire and The Humber,b. PS
PS - Shropshire,PS - Shropshire,PS-West Midlands,Shropshire,West Midlands,,West Midlands,b. PS
PS - Skelmersdale,PS - Skelmersdale,PS-North West,Skelmersdale,North West,,North West,b. PS
PS - Solihull,PS - Solihull,PS-West Midlands,Solihull,West Midlands,,West Midlands,b. PS
PS - Somerset,PS - Somerset,PS-South West,Somerset,South West,,South West,b. PS
PS - South Durham,PS - South Durham,PS-North East,South Durham,North East,,North East,b. PS
PS - South of Tyne Central,PS - South of Tyne Central,PS-North East,South of Tyne Central,North East,,North East,b. PS
PS - South Tyneside,PS - South Tyneside,PS-North East,South Tyneside,North East,,North East,b. PS
South Wales,South Wales,Wales,South Wales                                                              ,Wales,,Wales,a. Probation Trust
South Yorkshire,South Yorkshire,Yorkshire and Humberside,South Yorkshire                                                          ,North East,,Yorkshire and The Humber,a. Probation Trust
"PS - Southampton, Eastleigh and New Forest","PS - Southampton, Eastleigh and New Forest",PS-South Central,"Southampton, Eastleigh and New Forest",South Central,,South Central,b. PS
PS - Southwark,PS - Southwark,PS-London,Southwark,London,,London,b. PS
PS - St Helens,PS - St Helens,PS-North West,St Helens,North West,,North West,b. PS
PS - Staffordshire,PS - Staffordshire,PS-West Midlands,Staffordshire,West Midlands,,West Midlands,b. PS
Staffordshire,Staffordshire,Staffordshire and West Midlands,Staffordshire                                                            ,Midlands,,West Midlands,a. Probation Trust
PS - Stockport,PS - Stockport,PS-Greater Manchester,Stockport,Greater Manchester,,Greater Manchester,b. PS
PS - Stockton,PS - Stockton,PS-North East,Stockton,North East,,North East,b. PS
PS - Stoke,PS - Stoke,PS-West Midlands,Stoke,West Midlands,,West Midlands,b. PS
PS - Suffolk,PS - Suffolk,PS-East of England,Suffolk,East of England,,East of England,b. PS
Suffolk,Suffolk,East of England,Suffolk                                                                  ,South East & Eastern,,East of England,a. Probation Trust
PS - Sunderland,PS - Sunderland,PS-North East,Sunderland,North East,,North East,b. PS
PS - Surrey,PS - Surrey,PS-Kent Surrey Sussex,Surrey,Kent Surrey Sussex,,Kent Surrey Sussex,b. PS
Surrey,Surrey,South East,Surrey                                                                   ,South East & Eastern,,South East,a. Probation Trust
Sussex,Sussex,South East,Sussex                                                                   ,South East & Eastern,,South East,a. Probation Trust
"PS - Swansea, Neath and Port-Talbot","PS - Swansea, Neath and Port-Talbot",PS-Wales,"Swansea, Neath and Port-Talbot",Wales,,Wales,b. PS
PS - Swindon and Wiltshire,PS - Swindon and Wiltshire,PS-South West,Swindon and Wiltshire,South West,,South West,b. PS
PS - Tameside,PS - Tameside,PS-Greater Manchester,Tameside,Greater Manchester,,Greater Manchester,b. PS
PS - Telford,PS - Telford,PS-West Midlands,Telford,West Midlands,,West Midlands,b. PS
Thames Valley,Thames Valley,South East,Thames Valley                                                            ,South West,,South East,a. Probation Trust
PS - Tower Hamlets,PS - Tower Hamlets,PS-London,Tower Hamlets,London,,London,b. PS
PS - Trafford,PS - Trafford,PS-Greater Manchester,Trafford,Greater Manchester,,Greater Manchester,b. PS
PS - Wakefield,PS - Wakefield,PS-Yorkshire and The Humber,Wakefield,Yorkshire and The Humber,,Yorkshire and The Humber,b. PS
NSD - Wales and South West (Cardiff Worle),NSD - Wales and South West (Cardiff Worle),National Security Division,Wales and South West (Cardiff Worle),National Security Division,,National Security Division,b. PS
PS - Walsall,PS - Walsall,PS-West Midlands,Walsall,West Midlands,,West Midlands,b. PS
PS - Waltham Forest,PS - Waltham Forest,PS-London,Waltham Forest,London,,London,b. PS
PS - Wandsworth,PS - Wandsworth,PS-London,Wandsworth,London,,London,b. PS
PS - Warrington,PS - Warrington,PS-North West,Warrington,North West,,North West,b. PS
PS - Warwickshire,PS - Warwickshire,PS-West Midlands,Warwickshire,West Midlands,,West Midlands,b. PS
Warwickshire,Warwickshire,West Midlands,Warwickshire                                                             ,Midlands,,West Midlands,a. Probation Trust
PS - West Berkshire,PS - West Berkshire,PS-South Central,West Berkshire,South Central,,South Central,b. PS
PS - West Cheshire,PS - West Cheshire,PS-North West,West Cheshire,North West,,North West,b. PS
PS - West Kent,PS - West Kent,PS-Kent Surrey Sussex,West Kent,Kent Surrey Sussex,,Kent Surrey Sussex,b. PS
West Mercia,West Mercia,West Midlands,West Mercia                                                              ,Midlands,,West Midlands,a. Probation Trust
West Midlands,West Midlands,Staffordshire and West Midlands,West Midlands                                                            ,Midlands,,West Midlands,a. Probation Trust
PS - West Sussex,PS - West Sussex,PS-Kent Surrey Sussex,West Sussex,Kent Surrey Sussex,,Kent Surrey Sussex,b. PS
West Yorkshire,West Yorkshire,Yorkshire and Humberside,West Yorkshire                                                           ,North East,,Yorkshire and The Humber,a. Probation Trust
PS - Wigan,PS - Wigan,PS-Greater Manchester,Wigan,Greater Manchester,,Greater Manchester,b. PS
Wiltshire,Wiltshire,South West,Wiltshire                                                                ,South West,,South West,a. Probation Trust
PS - Wirral,PS - Wirral,PS-North West,Wirral,North West,,North West,b. PS
PS - Wolverhampton,PS - Wolverhampton,PS-West Midlands,Wolverhampton,West Midlands,,West Midlands,b. PS
PS - Worcestershire,PS - Worcestershire,PS-West Midlands,Worcestershire,West Midlands,,West Midlands,b. PS
PS - York,PS - York,PS-Yorkshire and The Humber,York,Yorkshire and The Humber,,Yorkshire and The Humber,b. PS
YOT - See Comments,YOT - See Comments,Not Specified,YOT - See Comments,Unassigned,,Unassigned,b. PS
Central Audit,Central Audit,Not Specified,Central Audit,Central Audit,,Unassigned,
Greater Manchester - Norfolk,Greater Manchester - Norfolk,North West,Greater Manchester,North West,,North West,b. PS
NSD - South Central and East (Reading Stevenage),NSD - South Central and East (Reading Stevenage),National Security Division,National Security Division,National Security Division,,National Security Division,b. PS
Regional CT Admin,Regional CT Admin,PS-CT,,,,Unassigned,
